Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1918', '0.3098', 'NS']"
1.0,"['0.2286', '0.3200', 'NS']"
1.5,"['0.1245', '0.2808', 'NS']"
2.0,"['0.1178', '0.2808', 'NS']"
2.5,"['0.0489', '0.2808', 'NS']"
3.0,"['0.0321', '0.2808', 'NS']"
3.5,"['0.0679', '0.2808', 'NS']"
4.0,"['0.0637', '0.2808', 'NS']"
4.5,"['0.0489', '0.2808', 'NS']"
5.0,"['0.0986', '0.2808', 'NS']"
5.5,"['0.1320', '0.2808', 'NS']"
6.0,"['0.1394', '0.2808', 'NS']"
6.5,"['0.3105', '0.4076', 'NS']"
7.0,"['0.9538', '1.0000', 'NS']"
7.5,"['0.7942', '0.8778', 'NS']"
8.0,"['0.5820', '0.6790', 'NS']"
8.5,"['0.3690', '0.4558', 'NS']"
9.0,"['0.1471', '0.2808', 'NS']"
9.5,"['0.1728', '0.3024', 'NS']"
10.0,"['0.2122', '0.3183', 'NS']"
