Glaz_+_w3_mean,Glaz_+_w3_sem,Glaz_+_w3_N,Glaz_+_w7_mean,Glaz_+_w7_sem,Glaz_+_w7_N,Glaz_BL31081_w3_mean,Glaz_BL31081_w3_sem,Glaz_BL31081_w3_N,Glaz_BL31081_w7_mean,Glaz_BL31081_w7_sem,Glaz_BL31081_w7_N,Glaz_BL41552_w3_mean,Glaz_BL41552_w3_sem,Glaz_BL41552_w3_N,Glaz_BL41552_w7_mean,Glaz_BL41552_w7_sem,Glaz_BL41552_w7_N,Glaz_BL65881_w3_mean,Glaz_BL65881_w3_sem,Glaz_BL65881_w3_N,Glaz_BL65881_w7_mean,Glaz_BL65881_w7_sem,Glaz_BL65881_w7_N,Glaz_Trip3_w3_mean,Glaz_Trip3_w3_sem,Glaz_Trip3_w3_N,Glaz_Trip3_w7_mean,Glaz_Trip3_w7_sem,Glaz_Trip3_w7_N,Glaz_V106955_w3_mean,Glaz_V106955_w3_sem,Glaz_V106955_w3_N,Glaz_V106955_w7_mean,Glaz_V106955_w7_sem,Glaz_V106955_w7_N,Glaz_V3135_w3_mean,Glaz_V3135_w3_sem,Glaz_V3135_w3_N,Glaz_V3135_w7_mean,Glaz_V3135_w7_sem,Glaz_V3135_w7_N,Glaz_V60000_w3_mean,Glaz_V60000_w3_sem,Glaz_V60000_w3_N,Glaz_V60000_w7_mean,Glaz_V60000_w7_sem,Glaz_V60000_w7_N,Glaz_V60100_w7_mean,Glaz_V60100_w7_sem,Glaz_V60100_w7_N
0.0,0.0,6,0.0,0.0,3,0.0,0.0,6,0.0,0.0,6,0.0,0.0,3,0.0,0.0,5,0.0,0.0,7,0.0,0.0,4,0.0,0.0,2,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,2,0.0,0.0,5,0.0,0.0,6,0.0,0.0,3
0.0,0.0,6,0.0,0.0,3,0.0,0.0,6,0.0,0.0,6,0.0,0.0,3,0.0,0.0,5,0.0,0.0,7,0.0,0.0,4,0.0,0.0,2,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,2,0.0,0.0,5,0.0,0.0,6,0.0,0.0,3
0.0,0.0,6,0.0,0.0,3,0.0,0.0,6,0.0,0.0,6,0.0,0.0,3,0.0,0.0,5,0.0,0.0,7,0.0,0.0,4,0.0,0.0,2,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,2,0.0,0.0,5,0.0,0.0,6,0.0,0.0,3
0.0,0.0,6,0.0,0.0,3,0.0,0.0,6,0.0,0.0,6,0.0,0.0,3,0.0,0.0,5,0.0,0.0,7,0.0,0.0,4,0.0,0.0,2,0.0,0.0,4,0.357,0.35699999999999993,5,0.0,0.0,5,0.625,0.625,4,0.0,0.0,2,0.0,0.0,5,0.0,0.0,6,0.0,0.0,3
0.0,0.0,6,0.0,0.0,3,0.0,0.0,6,0.0,0.0,6,0.8333333333333334,0.8333333333333334,3,0.0,0.0,5,0.0,0.0,7,0.0,0.0,4,0.96125,0.9612499999999999,2,0.0,0.0,4,4.517,3.0599364168230685,5,0.0,0.0,5,1.319375,0.7638446988480926,4,0.0,0.0,2,0.625,0.625,5,0.0,0.0,6,0.0,0.0,3
1.13625,0.7762065205214396,6,0.0,0.0,3,4.8758333333333335,1.9227508144438388,6,0.0,0.0,6,7.9875,3.5254399843612907,3,0.0,0.0,5,5.714285714285714,3.0357142857142856,7,0.0,0.0,4,4.9025,4.9025,2,0.78125,0.78125,4,5.725,2.1781142933739726,5,0.0,0.0,5,7.38625,4.364203523649342,4,0.0,0.0,2,2.9509999999999996,1.0753326810806039,5,0.6408333333333334,0.40529858677824726,6,0.0,0.0,3
5.041666666666667,3.2789976661236655,6,0.0,0.0,3,11.26375,4.075880158014954,6,0.0,0.0,6,14.304166666666667,4.229953785536879,3,0.357,0.35699999999999993,5,17.447857142857142,8.315587815830527,7,0.78125,0.78125,4,21.2125,4.545,2,0.0,0.0,4,9.971,3.649529986861322,5,0.0,0.0,5,25.368125,12.832224466772118,4,0.0,0.0,2,14.709999999999999,2.742781776773354,5,0.3204166666666667,0.3204166666666667,6,0.0,0.0,3
11.10375,6.1560302668061455,6,0.0,0.0,3,22.87958333333333,7.305325865897048,6,0.0,0.0,6,34.03583333333333,7.358890645184081,3,1.8405,1.1730825844756199,5,30.146071428571428,11.559295422808807,7,2.7775,2.7775,4,45.1325,0.967500000000001,2,0.0,0.0,4,16.761499999999998,3.897881604153722,5,0.0,0.0,5,43.335625,15.262405622660701,4,0.0,0.0,2,33.771,5.484783302465103,5,1.8991666666666667,0.8875863025331366,6,0.0,0.0,3
21.6375,9.286275334241031,6,1.0766666666666667,1.0766666666666667,3,35.258750000000006,10.509771281804062,6,1.0145833333333334,1.0145833333333334,6,51.44916666666668,5.36207910806164,3,3.746,2.3751777038781747,5,42.34571428571429,10.914997678411474,7,7.811875,3.441338368371381,4,54.06375,2.396250000000002,2,0.0,0.0,4,29.541499999999996,2.124102692903524,5,0.4165,0.41650000000000004,5,57.053125,13.092660808914728,4,4.1675,4.1675,2,54.25750000000001,6.171893297441232,5,3.418333333333333,1.565442385113905,6,0.0,0.0,3
32.942083333333336,12.40042226123548,6,3.063333333333334,1.7510861708601833,3,46.874583333333334,12.826342756489257,6,2.47,1.6815369953309582,6,63.04,4.415003775007823,3,5.948500000000001,3.4607185489432686,5,55.63249999999999,10.618353116970006,7,17.393750000000004,5.69244807654551,4,72.805,4.887499999999995,2,0.893125,0.8931250000000001,4,43.131499999999996,3.739571800353618,5,1.6664999999999999,1.6664999999999999,5,73.584375,11.246437647789854,4,6.33875,1.9962500000000005,2,64.842,7.3197447616020055,5,10.577083333333333,3.780610368306214,6,3.8633333333333333,3.8633333333333333,3
