Glaz_+_w3_mean,Glaz_+_w3_sem,Glaz_+_w3_N,Glaz_+_w7_mean,Glaz_+_w7_sem,Glaz_+_w7_N,Glaz_BL31081_w3_mean,Glaz_BL31081_w3_sem,Glaz_BL31081_w3_N,Glaz_BL31081_w7_mean,Glaz_BL31081_w7_sem,Glaz_BL31081_w7_N,Glaz_BL41552_w3_mean,Glaz_BL41552_w3_sem,Glaz_BL41552_w3_N,Glaz_BL41552_w7_mean,Glaz_BL41552_w7_sem,Glaz_BL41552_w7_N,Glaz_BL65881_w3_mean,Glaz_BL65881_w3_sem,Glaz_BL65881_w3_N,Glaz_BL65881_w7_mean,Glaz_BL65881_w7_sem,Glaz_BL65881_w7_N,Glaz_Trip3_w3_mean,Glaz_Trip3_w3_sem,Glaz_Trip3_w3_N,Glaz_Trip3_w7_mean,Glaz_Trip3_w7_sem,Glaz_Trip3_w7_N,Glaz_V106955_w3_mean,Glaz_V106955_w3_sem,Glaz_V106955_w3_N,Glaz_V106955_w7_mean,Glaz_V106955_w7_sem,Glaz_V106955_w7_N,Glaz_V3135_w3_mean,Glaz_V3135_w3_sem,Glaz_V3135_w3_N,Glaz_V3135_w7_mean,Glaz_V3135_w7_sem,Glaz_V3135_w7_N,Glaz_V60000_w3_mean,Glaz_V60000_w3_sem,Glaz_V60000_w3_N,Glaz_V60000_w7_mean,Glaz_V60000_w7_sem,Glaz_V60000_w7_N,Glaz_V60100_w7_mean,Glaz_V60100_w7_sem,Glaz_V60100_w7_N
100.0,0.0,6,100.0,0.0,3,100.0,0.0,6,100.0,0.0,6,100.0,0.0,3,100.0,0.0,5,100.0,0.0,7,100.0,0.0,4,100.0,0.0,2,100.0,0.0,4,100.0,0.0,5,100.0,0.0,5,100.0,0.0,4,100.0,0.0,2,100.0,0.0,5,100.0,0.0,6,100.0,0.0,3
98.60958333333333,0.7648454137565596,6,100.0,0.0,3,97.46333333333332,1.2423267261249944,6,100.0,0.0,6,97.55916666666667,0.16833333333333655,3,99.5,0.5,5,98.38607142857143,0.9035745576832699,7,100.0,0.0,4,94.69624999999999,0.30375000000000085,2,100.0,0.0,4,96.05,1.368096533509241,5,100.0,0.0,5,94.791875,3.157652967890076,4,100.0,0.0,2,98.17850000000001,0.8651140098276069,5,100.0,0.0,6,100.0,0.0,3
92.41791666666666,3.0182045861092837,6,99.47916666666667,0.5208333333333334,3,85.08999999999999,4.873063504271894,6,100.0,0.0,6,84.51916666666666,2.7795781804279414,3,98.25,0.7950585670250971,5,81.84142857142858,6.0004270893913905,7,96.25,2.9755951785595207,4,78.78,2.884999999999991,2,100.0,0.0,4,84.626,3.8757481213308997,5,99.375,0.625,5,74.250625,10.703854074925147,4,98.21375,1.7862500000000026,2,82.2855,2.0123435342903044,5,99.53708333333333,0.4629166666666673,6,100.0,0.0,3
76.11749999999999,8.773413318087778,6,97.85833333333333,2.1416666666666657,3,64.2675,9.976298871157915,6,99.58333333333333,0.41666666666666674,6,59.5025,3.5632449513516957,3,95.567,2.213450558517176,5,59.58535714285714,8.60749943689353,7,88.675625,3.6023423188658343,4,42.275,2.2749999999999986,2,100.0,0.0,4,67.58099999999999,3.5154566381908334,5,99.5455,0.45449999999999874,5,44.603750000000005,12.094552557349942,4,93.7425,2.9100000000000033,2,53.161500000000004,2.950021673649195,5,94.50458333333334,1.9689048792694661,6,99.07416666666666,0.9258333333333345,3
57.385416666666664,11.907486727836869,6,88.72166666666665,5.788806068132224,3,45.55291666666667,12.271644524686891,6,93.85083333333334,3.5537528090425443,6,38.275,5.397453875053805,3,88.22749999999999,4.847242450610449,5,37.720000000000006,7.951492073219729,7,71.53999999999999,8.033082184006334,4,20.1575,0.6775000000000001,2,96.46562499999999,2.423207751574693,4,43.1385,6.24185542326959,5,98.33099999999999,1.0395120850668351,5,22.07,7.411025359219869,4,89.83625,4.271250000000002,2,29.7505,6.165657527790527,5,86.57749999999999,4.705344833272053,6,92.65166666666666,7.3483333333333345,3
38.68083333333334,10.152665776096008,6,82.36,6.6265457316261935,3,31.39708333333333,12.722077667331353,6,88.77499999999999,3.7086650787940765,6,20.381666666666664,2.727852609858368,3,77.745,8.470385284920633,5,19.080000000000002,3.8913627264812543,7,52.705,8.19506755870058,4,8.23625,1.76375,2,90.40875,2.320429311032767,4,32.2635,3.227338938661385,5,97.224,2.0059465658386824,5,11.369375,3.520396872601866,4,87.71875,3.3437499999999996,2,17.3385,5.9515009976475675,5,77.22208333333333,7.447667124024662,6,87.60333333333334,10.865730755964423,3
24.416666666666668,7.367001755199405,6,73.77416666666666,10.55580895894662,3,20.638749999999998,9.515437780041092,6,86.18374999999999,2.9357278874525607,6,11.487499999999999,2.7343993094157506,3,64.41650000000001,10.75992078850955,5,9.378214285714284,2.206709176841494,7,38.133125,8.250570205989302,4,4.9475,3.385,2,77.36687500000001,6.7086661440476885,4,21.363,3.384970217741952,5,94.82249999999999,3.5346027888576095,5,5.916875,1.174172303777573,4,77.12875,6.71125,2,7.583,2.5299422424237274,5,63.33333333333334,8.934615214309893,6,79.53000000000002,18.496440198048923,3
17.665833333333335,5.9998430072053655,6,66.94166666666666,10.89823593650724,3,12.557083333333333,5.85914823931583,6,78.25541666666668,2.5449688453124746,6,5.989999999999999,2.2139463257570937,3,54.13599999999999,13.163648159799774,5,4.609642857142857,2.381354120868963,7,30.82,5.619772292984833,4,5.05875,3.2737499999999997,2,71.20375,8.680354645452761,4,16.862,2.3282417453950095,5,92.9125,4.76047181222618,5,4.66,1.0334030554435187,4,75.02375,3.4462499999999987,2,6.8340000000000005,1.8812128069413092,5,50.315416666666664,9.051956658108665,6,71.96499999999999,20.594323449274402,3
14.48208333333333,5.42636301681686,6,55.39833333333333,12.658691787770875,3,8.21125,4.662067350346482,6,69.55833333333332,2.3910322619692477,6,4.336666666666667,3.4207364988324445,3,48.503,11.397834125394175,5,4.615714285714286,2.349357100147529,7,25.554375,6.249853862874849,4,4.9475,3.385,2,62.4175,8.991538151692028,4,11.7425,1.5869788514658911,5,85.3665,7.865041266579597,5,2.958125,1.0610202318012918,4,59.707499999999996,4.915000000000002,2,5.861000000000001,1.8957082449575409,5,39.06791666666666,8.383975573891608,6,68.40916666666666,23.636615148841525,3
9.439583333333333,4.49453535866365,6,47.520833333333336,11.306586606683933,3,5.735416666666667,3.5253842826389556,6,59.83291666666668,2.978251683501208,6,4.3875,3.316772716059996,3,42.6995,11.18950941172132,5,2.746785714285714,2.4414340483791555,7,18.754375,4.719401927923883,4,2.9175000000000004,1.2500000000000002,2,53.294375,8.263670452586934,4,10.318000000000001,0.8928582614278707,5,81.282,8.711543039266925,5,1.015625,0.6168082959545318,4,56.04125,1.2487500000000011,2,4.2635000000000005,2.0264651489724663,5,32.21583333333333,7.327102390743863,6,66.52416666666667,21.605687972794986,3
