Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0452', '0.3519', 'NS']"
1.0,"['0.1574', '0.6611', 'NS']"
1.5,"['0.3787', '0.8776', 'NS']"
2.0,"['0.4181', '0.8776', 'NS']"
2.5,"['0.5974', '0.8961', 'NS']"
3.0,"['0.5495', '0.8876', 'NS']"
3.5,"['0.9719', '1.0000', 'NS']"
4.0,"['0.8603', '1.0000', 'NS']"
4.5,"['0.4597', '0.8776', 'NS']"
5.0,"['0.2178', '0.7624', 'NS']"
5.5,"['0.6472', '0.9060', 'NS']"
6.0,"['0.6985', '0.9168', 'NS']"
6.5,"['0.9159', '1.0000', 'NS']"
7.0,"['0.8053', '0.9948', 'NS']"
7.5,"['0.2751', '0.8252', 'NS']"
8.0,"['0.4181', '0.8776', 'NS']"
8.5,"['0.0528', '0.3519', 'NS']"
9.0,"['0.0670', '0.3519', 'NS']"
9.5,"['0.5030', '0.8802', 'NS']"
10.0,"['0.0219', '0.3519', 'NS']"
