Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0452', '0.0949', 'NS']"
1.0,"['0.1574', '0.2754', 'NS']"
1.5,"['0.3787', '0.5164', 'NS']"
2.0,"['0.4181', '0.5164', 'NS']"
2.5,"['0.5035', '0.5565', 'NS']"
3.0,"['0.5035', '0.5565', 'NS']"
3.5,"['0.3418', '0.5127', 'NS']"
4.0,"['0.5495', '0.5769', 'NS']"
4.5,"['0.3072', '0.4963', 'NS']"
5.0,"['0.4181', '0.5164', 'NS']"
5.5,"['0.1299', '0.2480', 'NS']"
6.0,"['0.0242', '0.0926', 'NS']"
6.5,"['0.0264', '0.0926', 'NS']"
7.0,"['0.0376', '0.0949', 'NS']"
7.5,"['0.0317', '0.0949', 'NS']"
8.0,"['0.0447', '0.0949', 'NS']"
8.5,"['0.0263', '0.0926', 'NS']"
9.0,"['0.0099', '0.0694', 'NS']"
9.5,"['0.0099', '0.0694', 'NS']"
10.0,"['0.0082', '0.0694', 'NS']"
