Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.8053', '0.8901', 'NS']"
1.0,"['0.9719', '1.0000', 'NS']"
1.5,"['0.6985', '0.8150', 'NS']"
2.0,"['0.5035', '0.7553', 'NS']"
2.5,"['0.6472', '0.7994', 'NS']"
3.0,"['0.6472', '0.7994', 'NS']"
3.5,"['0.5495', '0.7693', 'NS']"
4.0,"['0.5035', '0.7553', 'NS']"
4.5,"['0.1927', '0.3372', 'NS']"
5.0,"['0.1697', '0.3240', 'NS']"
5.5,"['0.1697', '0.3240', 'NS']"
6.0,"['0.0725', '0.1693', 'NS']"
6.5,"['0.0528', '0.1386', 'NS']"
7.0,"['0.0317', '0.1111', 'NS']"
7.5,"['0.0378', '0.1133', 'NS']"
8.0,"['0.0265', '0.1111', 'NS']"
8.5,"['0.0317', '0.1111', 'NS']"
9.0,"['0.0124', '0.0870', 'NS']"
9.5,"['0.0028', '0.0290', '*']"
10.0,"['0.0017', '0.0290', '*']"
