CLK_Out_w1_mean,CLK_Out_w1_sem,CLK_Out_w1_N,CLK_Out_w3_mean,CLK_Out_w3_sem,CLK_Out_w3_N,W1118_w1_mean,W1118_w1_sem,W1118_w1_N,W1118_w3_mean,W1118_w3_sem,W1118_w3_N
100.0,0.0,11,100.0,0.0,11,100.0,0.0,13,100.0,0.0,10
99.7934090909091,0.20659090909090852,11,100.0,0.0,11,98.4396153846154,0.8605978116645514,13,99.3145,0.3504276752135242,10
98.25409090909092,0.6297354488491096,11,99.49499999999999,0.33876429859121854,11,95.08807692307694,1.6655415630433397,13,97.64200000000001,0.672012917369236,10
92.80545454545454,1.485143619401146,11,93.70204545454544,2.1553055788982114,11,87.31557692307692,2.889082929336544,13,90.31225,3.3175964661935606,10
79.9134090909091,3.1367823024255155,11,84.60454545454546,3.5806026158979445,11,69.16942307692308,4.527909057058686,13,80.70575000000001,2.9559775608549157,10
65.12022727272728,4.525882717198349,11,69.26363636363637,4.902840739209217,11,51.628269230769234,4.748678294392983,13,66.947,5.138815954737693,10
51.163181818181826,4.358081013928831,11,56.49340909090909,5.45147069681792,11,38.02134615384616,4.754091925203385,13,55.275,5.998744984485412,10
37.6315909090909,4.341229681165016,11,45.22159090909091,5.544373819803189,11,26.334615384615386,3.6732280946203817,13,46.495999999999995,6.633697762183622,10
30.28909090909091,4.3335716593182445,11,38.23795454545455,4.285238468199739,11,19.01442307692308,3.851986595703737,13,37.2825,6.7765072329171,10
21.999772727272727,3.2789674867137095,11,31.110000000000003,4.199292378160007,11,13.896923076923077,3.943826979762396,13,29.957749999999997,6.967239315081054,10
17.851136363636364,2.7107513082093457,11,27.065454545454543,3.430279040766313,11,12.53346153846154,3.239431466946537,13,26.004,6.6495962826492105,10
15.444545454545453,2.4335197763868934,11,21.689318181818184,2.9355991159253145,11,11.677692307692306,3.155063726823213,13,24.582250000000002,6.38511245278595,10
13.863181818181818,2.401137587660489,11,18.65522727272727,3.181465561629531,11,10.120576923076925,3.407532640815764,13,22.96075,5.898917227033186,10
12.716136363636364,2.647667162797975,11,17.41613636363636,2.999574635822181,11,10.479423076923078,3.3864880354506637,13,18.67175,4.301668717712283,10
11.7925,3.1014455024303516,11,16.33727272727273,3.1360421179074196,11,10.26576923076923,2.8342902096216265,13,16.836000000000002,4.208980283605255,10
10.610909090909091,2.8241565770864807,11,15.357272727272727,3.091724115473169,11,9.710576923076923,2.6440655787561917,13,16.03075,3.9522136562592647,10
12.575454545454544,3.194252541287345,11,15.070681818181818,3.176792051363026,11,9.895769230769229,3.059579643500248,13,16.657,3.6138816235301467,10
13.602272727272727,3.5646427440294746,11,16.012045454545454,3.0149585934549643,11,9.395384615384616,2.831176094950878,13,16.4475,3.2813426494856235,10
15.125681818181818,3.7319113140300004,11,18.096818181818183,3.0207530685641406,11,8.244423076923077,2.5370468863135067,13,15.360249999999999,2.869291444909934,10
14.967954545454546,3.881086888216276,11,18.83181818181818,2.9839604953154635,11,7.918076923076924,2.393577982268222,13,16.20875,2.8889770212251022,10
15.060454545454546,3.8427768253359242,11,18.38477272727273,2.3443373616630474,11,9.334615384615386,2.3924516855729374,13,15.966250000000002,2.7379027164459697,10
16.74590909090909,3.769054608867865,11,19.033636363636365,2.8472016837038345,11,9.225961538461538,2.1509241182284247,13,14.8155,2.8755862155973224,10
18.203181818181818,3.196061978344833,11,20.793409090909094,3.1551512943253046,11,10.156153846153845,3.0346970899110826,13,15.539999999999997,3.1342041786286563,10
18.24068181818182,3.3810497309353282,11,22.028181818181817,2.603608664625388,11,9.08326923076923,2.2567344263787787,13,13.964250000000002,3.1925436795497935,10
17.324545454545454,3.1780268288347386,11,22.35340909090909,2.782824376108644,11,10.625961538461537,2.1450235254085706,13,13.5535,2.98893708346109,10
16.81022727272727,3.6640097021033444,11,20.772045454545452,2.7252999588490217,11,8.333076923076923,2.182957961355501,13,13.05625,2.4321297894026954,10
