CLK_Out_w1_mean,CLK_Out_w1_sem,CLK_Out_w1_N,CLK_Out_w3_mean,CLK_Out_w3_sem,CLK_Out_w3_N,W1118_w1_mean,W1118_w1_sem,W1118_w1_N,W1118_w3_mean,W1118_w3_sem,W1118_w3_N
0.0,0.0,11,0.0,0.0,11,0.0,0.0,13,0.0,0.0,10
0.20659090909090908,0.20659090909090908,11,0.0,0.0,11,1.5603846153846155,0.8605978116645514,13,0.6855,0.35042767521352464,10
1.745909090909091,0.62973544884911,11,0.505,0.33876429859121815,11,4.9119230769230775,1.66554156304334,13,2.358,0.6720129173692355,10
7.194545454545456,1.4851436194011454,11,6.297954545454545,2.155305578898211,11,12.684423076923075,2.889082929336544,13,9.687750000000001,3.3175964661935606,10
20.086590909090912,3.1367823024255155,11,15.395454545454545,3.5806026158979454,11,30.830576923076926,4.527909057058686,13,19.155250000000002,2.9447214650870537,10
34.69045454545454,4.495859393251116,11,30.736363636363638,4.902840739209219,11,47.940384615384616,4.62834619808623,13,32.906,5.129111009716985,10
48.21704545454545,4.094278405428364,11,42.92931818181818,5.237045034382343,11,60.315769230769234,4.615516180683573,13,44.407250000000005,5.9402333644067475,10
59.32977272727273,4.123590371466702,11,53.0159090909091,5.208328320548551,11,68.66788461538461,3.6123481008583807,13,51.5505,6.344356162063343,10
63.4209090909091,4.034409530311029,11,57.27431818181819,3.754996884318237,11,71.04846153846154,4.4254362067562365,13,57.515750000000004,5.9939609660474105,10
66.73977272727274,3.9028603650304503,11,58.21113636363635,2.278283852826418,11,66.69596153846155,5.294511910768939,13,59.24675,5.904862086191721,10
62.88704545454546,4.269953305287874,11,56.82409090909091,2.80317057245264,11,58.049615384615386,4.542129762141778,13,55.06325,4.586491897257762,10
54.58386363636364,4.881660791859351,11,54.72977272727273,3.9185832385069275,11,49.18192307692308,3.942984145372734,13,48.399750000000004,3.6672302871740503,10
47.779318181818184,4.56834266112137,11,50.228636363636376,3.6043149229846145,11,40.26096153846153,3.1661143775105933,13,40.4915,3.5487002941609167,10
42.78340909090909,3.5914965270370254,11,46.352954545454544,4.012393652204122,11,31.65442307692308,2.9666698873755317,13,40.603500000000004,3.474718078092412,10
37.16068181818182,3.6243945590155446,11,40.72772727272727,3.7875316598518576,11,25.017884615384613,2.4935385705974555,13,36.7715,3.5040763603107865,10
33.48659090909091,3.2505303286318328,11,38.74227272727273,3.0881441075386395,11,21.599230769230772,2.088260367134986,13,32.803,3.7792516859234917,10
30.41977272727273,3.4318515154913336,11,34.473181818181814,3.0165117401582244,11,17.055,2.0463069063872616,13,28.521000000000004,4.564267910142387,10
28.810454545454547,2.4077637403488827,11,31.37840909090909,2.5120903617380472,11,18.506538461538465,2.4739196933035617,13,27.339,4.371370434111277,10
25.275909090909092,2.4805841795635213,11,30.003181818181815,2.852214452501398,11,18.804615384615385,2.4942120474555853,13,26.776,4.326207638079542,10
24.221363636363638,3.161396975512069,11,27.71863636363636,1.7532430782188517,11,21.113269230769234,2.0983411370922065,13,27.313,3.850100951057431,10
21.84181818181818,2.925970314794368,11,27.552954545454543,2.0834152146443516,11,20.24807692307692,2.111812988610942,13,28.044999999999998,4.095003578210348,10
20.888181818181817,2.789706161027722,11,27.591136363636362,3.1687691251643817,11,18.570576923076924,2.2515911602047187,13,25.7625,4.643096443466723,10
22.244545454545456,2.5805681372823743,11,26.77409090909091,2.0447450739286235,11,19.111923076923077,1.9795274128824427,13,25.911,5.342289786848581,10
26.125681818181818,3.806554650308481,11,23.132499999999997,2.361183206861263,11,19.912115384615387,2.5181853942830097,13,28.082749999999997,5.892471414275639,10
27.515454545454542,4.380983684918339,11,24.718409090909088,1.9028710447137287,11,18.067307692307693,2.938624095634518,13,27.347249999999995,5.627234117441711,10
26.63386363636364,4.535634557234176,11,24.251136363636363,1.9784757782087399,11,18.64173076923077,2.8857807539147347,13,27.619999999999997,5.19474639793791,10
