Glaz_+_w3_mean,Glaz_+_w3_sem,Glaz_+_w3_N,Glaz_+_w7_mean,Glaz_+_w7_sem,Glaz_+_w7_N,Glaz_BL31081_w3_mean,Glaz_BL31081_w3_sem,Glaz_BL31081_w3_N,Glaz_BL31081_w7_mean,Glaz_BL31081_w7_sem,Glaz_BL31081_w7_N,Glaz_BL41552_w3_mean,Glaz_BL41552_w3_sem,Glaz_BL41552_w3_N,Glaz_BL41552_w7_mean,Glaz_BL41552_w7_sem,Glaz_BL41552_w7_N,Glaz_BL65881_w3_mean,Glaz_BL65881_w3_sem,Glaz_BL65881_w3_N,Glaz_BL65881_w7_mean,Glaz_BL65881_w7_sem,Glaz_BL65881_w7_N,Glaz_Trip3_w3_mean,Glaz_Trip3_w3_sem,Glaz_Trip3_w3_N,Glaz_Trip3_w7_mean,Glaz_Trip3_w7_sem,Glaz_Trip3_w7_N,Glaz_V106955_w3_mean,Glaz_V106955_w3_sem,Glaz_V106955_w3_N,Glaz_V106955_w7_mean,Glaz_V106955_w7_sem,Glaz_V106955_w7_N,Glaz_V3135_w3_mean,Glaz_V3135_w3_sem,Glaz_V3135_w3_N,Glaz_V3135_w7_mean,Glaz_V3135_w7_sem,Glaz_V3135_w7_N,Glaz_V60000_w3_mean,Glaz_V60000_w3_sem,Glaz_V60000_w3_N,Glaz_V60000_w7_mean,Glaz_V60000_w7_sem,Glaz_V60000_w7_N,Glaz_V60100_w3_mean,Glaz_V60100_w3_sem,Glaz_V60100_w3_N,Glaz_V60100_w7_mean,Glaz_V60100_w7_sem,Glaz_V60100_w7_N
0.0,0.0,7,0.0,0.0,7,0.0,0.0,6,0.0,0.0,7,0.0,0.0,4,0.0,0.0,5,0.0,0.0,8,0.0,0.0,7,0.0,0.0,2,0.0,0.0,5,0.0,0.0,6,0.0,0.0,5,0.0,0.0,5,0.0,0.0,2,0.0,0.0,5,0.0,0.0,5,0.0,,1,0.0,0.0,4
0.0,0.0,7,0.0,0.0,7,1.8058333333333334,1.4973021108350553,6,0.0,0.0,7,5.20875,3.9438697815935386,4,0.0,0.0,5,4.8090625,1.8001757687928994,8,0.0,0.0,7,3.96375,0.39125000000000026,2,0.0,0.0,5,1.437083333333333,1.0503254290668413,6,0.0,0.0,5,3.4885000000000006,1.7868725472176241,5,0.0,0.0,2,1.099,0.7217948981532079,5,0.0,0.0,5,2.5,,1,0.0,0.0,4
2.8785714285714286,1.5773180086273457,7,0.0,0.0,7,6.1762500000000005,2.3705351672495114,6,0.0,0.0,7,20.0625,7.2102188044700375,4,0.0,0.0,5,5.524687500000001,2.649907867228426,8,0.0,0.0,7,6.84375,0.59375,2,0.0,0.0,5,6.568749999999999,2.4736161745846235,6,0.0,0.0,5,12.136,7.866389443385066,5,0.0,0.0,2,11.262500000000001,5.662641113031974,5,0.0,0.0,5,0.0,,1,0.0,0.0,4
9.950000000000001,5.239110929664815,7,0.0,0.0,7,13.031666666666666,3.1749125097306927,6,0.0,0.0,7,31.103749999999998,8.757114399399306,4,1.0,1.0,5,12.996875,4.0016560955055125,8,0.0,0.0,7,15.34,1.4525000000000003,2,0.0,0.0,5,13.499583333333334,4.60181057740079,6,0.0,0.0,5,25.609,13.85591075588321,5,0.0,0.0,2,27.406,11.720395113860281,5,0.0,0.0,5,1.6675,,1,0.0,0.0,4
18.248214285714287,8.258215240751783,7,0.0,0.0,7,24.75708333333333,6.094517393276062,6,0.0,0.0,7,40.960625,5.6920986331017085,4,1.0,1.0,5,19.32875,5.000388355453718,8,0.0,0.0,7,19.35875,1.0262500000000008,2,0.625,0.625,5,27.27541666666666,7.849968721186801,6,0.0,0.0,5,39.25449999999999,16.976190668845586,5,0.0,0.0,2,46.294,10.882878312974007,5,0.0,0.0,5,5.882499999999999,,1,0.0,0.0,4
31.732142857142858,10.17535478831216,7,0.0,0.0,7,36.537083333333335,7.934121417876786,6,0.35714285714285715,0.3571428571428571,7,48.618750000000006,7.309620978831029,4,1.875,1.8749999999999998,5,27.8375,5.100283277321816,8,0.9692857142857143,0.7172968673557465,7,30.375,1.1875,2,0.0,0.0,5,41.87583333333334,9.82645751840973,6,0.5555,0.5555,5,46.94349999999999,17.27125747448633,5,0.0,0.0,2,65.96099999999998,11.42538529437848,5,0.8335000000000001,0.8335000000000001,5,17.362499999999997,,1,0.0,0.0,4
42.69178571428571,11.504792915737927,7,0.0,0.0,7,41.95916666666667,8.142630683289307,6,0.7710714285714285,0.7710714285714285,7,53.239999999999995,3.6793402658175904,4,2.768,2.7679999999999993,5,32.159375,5.83237458054332,8,0.6942857142857142,0.45452968703326496,7,39.676249999999996,5.63625,2,0.5555,0.5555,5,48.63083333333333,8.30517262680982,6,1.8395,1.2190586532238714,5,54.2875,14.641137229566562,5,0.0,0.0,2,76.6725,7.60488108059554,5,3.857,3.8569999999999993,5,28.0775,,1,1.25,1.25,4
50.50214285714286,9.638714138649338,7,0.0,0.0,7,48.65375,8.47137953026739,6,1.2542857142857142,0.829058328819531,7,58.790000000000006,11.554970160786512,4,3.572,3.572,5,36.0825,4.4312921869843525,8,1.7771428571428571,0.9519102705955566,7,44.495000000000005,5.745,2,2.4445,1.1090126239137226,5,54.73708333333334,7.08679415699448,6,2.4505,1.51145261255522,5,57.169,11.027773506016525,5,2.5,2.5,2,76.2475,5.871127606771973,5,4.2265,4.2265,5,38.3475,,1,6.27125,2.8938052550520164,4
57.62607142857143,7.287634072464784,7,0.0,0.0,7,54.04708333333334,8.409088669822934,6,2.1860714285714287,1.722434415188529,7,48.045625,6.562028504887672,4,3.393,3.393,5,40.9175,3.7234723917045116,8,2.1564285714285716,1.203252271517309,7,40.832499999999996,14.167499999999999,2,4.1899999999999995,3.0634336331965804,5,55.99291666666667,4.946635195458066,6,5.0835,2.283795579731251,5,50.8015,9.035181708189382,5,2.5,2.5,2,65.2135,3.6418285757295044,5,3.0955,3.0955,5,53.9225,,1,11.962499999999999,5.586228136378487,4
58.553928571428564,5.12001290040759,7,0.0,0.0,7,51.713750000000005,6.422564510834698,6,5.361785714285714,2.494494635471192,7,42.63375,6.212744336241433,4,3.8869999999999996,3.8869999999999996,5,37.5409375,3.4543854418249227,8,4.958214285714285,1.4474669700037028,7,43.42,3.454999999999998,2,5.9885,3.268613295420552,5,55.20708333333332,4.271724789076554,6,6.8215,2.7148144043377993,5,44.41799999999999,9.399876242536386,5,2.5,2.5,2,58.35850000000001,5.436051450731493,5,5.1985,5.1985,5,65.19749999999999,,1,17.025625,9.013234503992356,4
59.98250000000001,4.997235813308145,7,0.0,0.0,7,48.93125,6.856651477154624,6,12.294285714285715,4.726838068862915,7,37.230000000000004,6.839424850940807,4,13.139,6.454574569636639,5,40.700937499999995,3.3345118691784505,8,7.006785714285714,1.8961973785182065,7,48.603750000000005,3.06625,2,5.893,3.8164577326363776,5,50.531666666666666,4.6919327337226155,6,11.113000000000001,4.5852091964271375,5,41.0195,10.852684990360679,5,2.08375,2.08375,2,42.8315,7.212109504160346,5,18.603166666666667,7.77366666130669,5,67.1575,,1,20.728749999999998,9.624630647675092,4
58.17071428571428,5.582061503535383,7,0.0,0.0,7,48.143750000000004,5.857705422134165,6,9.407499999999999,4.292951032964221,7,39.045,7.831987894206681,4,15.317833333333335,10.219497322656226,5,40.7196875,2.438508831411224,8,8.358214285714286,2.210977059542484,7,48.61125,2.7787499999999983,2,11.182500000000001,5.260607676400133,5,46.018750000000004,3.0650401540327876,6,14.123500000000002,5.914993005067716,5,36.650999999999996,12.619774205587039,5,2.08375,2.08375,2,30.051499999999997,5.14848282263814,5,14.76,6.3336729075631935,5,72.2225,,1,25.880625,10.6731321733887,4
55.42928571428571,7.447673548431994,7,0.8928571428571429,0.8928571428571428,7,43.54583333333334,5.464079545337694,6,15.493571428571428,6.813751214437235,7,33.396875,6.508780877831501,4,15.943000000000001,6.8688988564398,5,39.22625,3.817949676481194,8,9.610357142857142,2.7338097233972767,7,46.5225,8.7975,2,12.726,4.91081749813613,5,41.545,2.6275555021096446,6,16.187,6.768032921388606,5,33.5905,12.56075650587973,5,0.0,0.0,2,24.577,4.627763323140025,5,18.496166666666667,8.618510910792216,5,74.1075,,1,27.37125,11.5248239547292,4
50.52821428571429,8.760266013612355,7,0.8928571428571429,0.8928571428571428,7,38.392916666666665,5.640134063738597,6,17.650714285714287,6.494933572974165,7,37.465,5.8928486850588655,4,10.5155,4.0437089565150455,5,37.7496875,4.7740629558673415,8,9.637142857142859,2.866996594485092,7,48.38625,13.19375,2,13.572999999999999,5.753290221690541,5,40.462916666666665,2.3564124759779315,6,16.803500000000003,6.221415815551955,5,31.330000000000002,12.63949477332856,5,0.0,0.0,2,18.3825,4.403647351911822,5,26.666499999999996,8.392976029097188,5,68.16,,1,30.279375,12.770893843317767,4
47.19642857142857,8.653482918695202,7,0.7142857142857143,0.7142857142857143,7,35.19833333333333,3.5783311791640777,6,18.93,7.307839805239822,7,28.806874999999998,10.094935785611764,4,12.202000000000002,5.444346804254851,5,40.356875,2.073780878419036,8,8.966547619047619,3.1127236348366596,7,38.7025,7.477499999999998,2,14.970500000000001,5.040208911840858,5,37.85208333333333,3.1955432126026886,6,16.696666666666665,7.278203594943222,5,30.973000000000003,12.307442296228734,5,3.125,3.125,2,17.6435,5.537178466963116,5,27.8565,9.134148961452292,5,61.3575,,1,33.03875,12.302216454261403,4
41.897499999999994,8.830633824930123,7,2.529642857142857,1.322560920886362,7,34.52375,4.522228191113315,6,17.863571428571426,6.367363793884678,7,28.946875,7.9579372965376525,4,9.047999999999998,2.316851470446716,5,49.1178125,3.098945905087122,8,10.013571428571426,3.1816293209697486,7,46.442499999999995,2.8150000000000013,2,13.374,5.215442610651564,5,33.52875,2.875731410586415,6,19.895,8.296268362944872,5,26.65,11.435681248836904,5,4.58375,0.4162499999999998,2,17.941499999999998,4.827197789608376,5,23.42733333333333,6.7217063361504,5,59.1,,1,35.0575,12.758206305159044,4
37.0875,9.238081994038124,7,1.5474999999999999,1.184395189236141,7,34.90333333333333,4.240892234476661,6,20.192857142857143,6.982924207285503,7,28.459375,8.783336518124818,4,23.568166666666666,10.019099324678729,5,42.491875,5.094189370840286,8,11.192023809523809,3.2059760710315994,7,41.26875,1.3887499999999982,2,16.404000000000003,4.972758012411221,5,33.085416666666674,2.9905309183506383,6,21.684500000000003,8.127853860337302,5,29.4635,9.510433665191087,5,7.08375,2.08375,2,16.7235,3.6703571522400926,5,37.46383333333333,14.725688817599595,5,46.8925,,1,34.705625,11.806379912599162,4
34.863214285714285,8.181473385656405,7,2.232142857142857,1.7670151915234997,7,31.646666666666665,4.693279844037051,6,21.000357142857144,7.5954779276211175,7,31.019166666666667,2.110903407180074,4,11.909166666666668,4.364215183359623,5,44.543437499999996,4.2407092761259335,8,11.161428571428571,3.871329976999677,7,36.05125,8.53125,2,15.15,4.282908255496491,5,27.962500000000002,5.515842372959305,6,20.549500000000002,6.293193118362093,5,28.870000000000005,9.464827157692843,5,9.1675,0.8324999999999996,2,18.006,3.4309571915137616,5,24.631,8.26913873235901,5,45.4575,,1,32.4925,9.284429898581102,4
29.98714285714286,7.443344071107042,7,1.875,1.2574184627546197,7,30.868333333333336,3.4629080184787537,6,14.715714285714284,4.779439743338551,7,24.270625,2.761852747515394,4,5.865,2.085264221867339,5,42.754062499999996,3.1489123667056793,8,13.03892857142857,3.9132053546880443,7,29.55375,12.193750000000001,2,13.7345,3.7250156375510692,5,25.129583333333333,4.442471788349114,6,19.9325,6.265003890661202,5,26.3945,6.650198465083579,5,11.162500000000001,2.8274999999999997,2,16.461,1.6179401642211617,5,42.4285,12.92208366625823,5,36.3925,,1,31.405625,6.707686385082789,4
28.21,7.557139048293215,7,2.9464285714285716,1.4379302520859438,7,29.98541666666667,4.506361772384804,6,12.23607142857143,4.283428576987092,7,17.269374999999997,6.184402791751601,4,12.0975,6.125835963360429,5,37.189062500000006,3.1046931617965488,8,14.559285714285712,3.5378617816973232,7,31.8125,9.49,2,14.220499999999998,3.7643345527463405,5,22.124583333333334,3.8729566341850235,6,19.892,5.93197276418225,5,29.728,3.722612103751881,5,21.25,3.75,2,13.664000000000001,3.088218904158188,5,39.65066666666666,8.956389910902221,5,36.12,,1,30.385625,8.461955692428612,4
26.889285714285712,6.490140386493542,7,2.3953571428571427,1.1607561714054258,7,26.4375,3.7047763652704697,6,8.895,3.565990937880748,7,20.98375,5.744646103474667,4,17.466833333333334,9.702223243211376,5,33.7953125,2.9072206688346016,8,25.058214285714286,10.019607588348446,7,24.965,8.099999999999998,2,15.4155,4.151882585045005,5,20.280416666666664,3.3963217491296542,6,20.418833333333332,6.348278712463017,5,25.11,5.405610684742289,5,24.792500000000004,9.375000000000002,2,10.994499999999999,1.2796538594479367,5,38.0955,10.073208506975321,5,29.045,,1,29.874375,7.862559576814559,4
25.558571428571433,5.834524347557811,7,2.9464285714285716,1.4379302520859438,7,26.504583333333333,3.608586023677111,6,10.396071428571428,3.05873217477549,7,19.85125,9.284531069876389,4,11.713,5.03910622035297,5,32.700937499999995,3.5909212450059136,8,15.617500000000001,4.84110828884107,7,33.01875,10.25125,2,15.739499999999998,4.160125403758881,5,19.749583333333334,3.1279955920063434,6,23.899,5.1444772936616205,5,19.46,4.715840261819732,5,20.0,5.8325,2,8.040000000000001,2.192933680027738,5,24.631500000000003,8.700469656863358,5,25.335,,1,27.789375,6.814227332619964,4
21.97107142857143,4.823506703817121,7,2.950714285714286,1.4177556788692423,7,27.942083333333333,4.304839932015798,6,12.001785714285715,3.0013918256629646,7,21.282500000000002,7.776909934221947,4,10.968333333333334,3.033324095681904,5,26.9859375,2.4470166756785923,8,17.03214285714286,4.136080695587087,7,33.9925,13.902500000000002,2,11.836500000000001,3.226640338649475,5,21.99791666666667,4.0324517674665925,6,26.576,4.911053832936471,5,23.832500000000003,2.961812683982564,5,19.822499999999998,7.677499999999999,2,5.8355,2.094770781016386,5,34.5475,7.252489146454783,5,22.4175,,1,26.79625,5.392362509837409,4
20.607142857142858,3.7187062293771143,7,1.5150000000000001,0.9995469211693104,7,28.77916666666667,4.585370335219514,6,9.804642857142856,2.1114698253392623,7,21.760625,5.774958186627126,4,17.06166666666667,8.013450883947842,5,25.8846875,1.4843603147769824,8,18.752142857142854,5.618254246855772,7,31.755000000000003,7.947499999999999,2,12.368500000000001,3.613973367361746,5,19.40375,2.7770998624164265,6,27.155,5.190276305265453,5,20.163,3.7646094086903625,5,27.085,12.5,2,8.627,3.653115399901843,5,22.7085,9.309191345116933,5,18.9575,,1,24.62625,2.5294666557399017,4
18.41857142857143,2.991297638922922,7,2.057857142857143,1.351034703628357,7,35.25958333333333,5.439244372178711,6,12.840357142857142,3.601914645802459,7,17.71625,6.3043382467287294,4,11.881499999999999,6.47641232666667,5,26.330312499999998,2.0571716040161876,8,19.0275,4.0366120577486635,7,32.19625,6.89875,2,11.528,3.202513992943669,5,18.10125,2.8767003486344103,6,26.8245,4.90809073112957,5,18.097,2.247479755192469,5,18.5425,10.2075,2,8.0,3.362244414078191,5,27.041499999999996,6.447358742151703,5,14.170000000000002,,1,22.668125,2.4053190569288305,4
