Glaz_+_w3_mean,Glaz_+_w3_sem,Glaz_+_w3_N,Glaz_+_w7_mean,Glaz_+_w7_sem,Glaz_+_w7_N,Glaz_BL31081_w3_mean,Glaz_BL31081_w3_sem,Glaz_BL31081_w3_N,Glaz_BL31081_w7_mean,Glaz_BL31081_w7_sem,Glaz_BL31081_w7_N,Glaz_BL41552_w3_mean,Glaz_BL41552_w3_sem,Glaz_BL41552_w3_N,Glaz_BL41552_w7_mean,Glaz_BL41552_w7_sem,Glaz_BL41552_w7_N,Glaz_BL65881_w3_mean,Glaz_BL65881_w3_sem,Glaz_BL65881_w3_N,Glaz_BL65881_w7_mean,Glaz_BL65881_w7_sem,Glaz_BL65881_w7_N,Glaz_Trip3_w3_mean,Glaz_Trip3_w3_sem,Glaz_Trip3_w3_N,Glaz_Trip3_w7_mean,Glaz_Trip3_w7_sem,Glaz_Trip3_w7_N,Glaz_V106955_w3_mean,Glaz_V106955_w3_sem,Glaz_V106955_w3_N,Glaz_V106955_w7_mean,Glaz_V106955_w7_sem,Glaz_V106955_w7_N,Glaz_V3135_w3_mean,Glaz_V3135_w3_sem,Glaz_V3135_w3_N,Glaz_V3135_w7_mean,Glaz_V3135_w7_sem,Glaz_V3135_w7_N,Glaz_V60000_w3_mean,Glaz_V60000_w3_sem,Glaz_V60000_w3_N,Glaz_V60000_w7_mean,Glaz_V60000_w7_sem,Glaz_V60000_w7_N,Glaz_V60100_w3_mean,Glaz_V60100_w3_sem,Glaz_V60100_w3_N,Glaz_V60100_w7_mean,Glaz_V60100_w7_sem,Glaz_V60100_w7_N
100.0,0.0,7,100.0,0.0,7,100.0,0.0,6,100.0,0.0,7,100.0,0.0,4,100.0,0.0,5,100.0,0.0,8,100.0,0.0,7,100.0,0.0,2,100.0,0.0,5,100.0,0.0,6,100.0,0.0,5,100.0,0.0,5,100.0,0.0,2,100.0,0.0,5,100.0,0.0,5,100.0,,1,100.0,0.0,4
100.0,0.0,7,100.0,0.0,7,98.19416666666666,1.4973021108350555,6,100.0,0.0,7,94.79124999999999,3.9438697815935395,4,100.0,0.0,5,95.1909375,1.8001757687928992,8,100.0,0.0,7,96.03625,0.39124999999999943,2,100.0,0.0,5,98.56291666666668,1.0503254290668405,6,100.0,0.0,5,96.5115,1.7868725472176232,5,100.0,0.0,2,98.901,0.7217948981532089,5,100.0,0.0,5,97.5,,1,100.0,0.0,4
97.12142857142858,1.577318008627345,7,100.0,0.0,7,93.82374999999998,2.370535167249512,6,100.0,0.0,7,79.9375,7.210218804470038,4,100.0,0.0,5,94.4753125,2.649907867228426,8,100.0,0.0,7,93.15625,0.59375,2,100.0,0.0,5,93.43125000000002,2.473616174584625,6,100.0,0.0,5,87.864,7.866389443385066,5,100.0,0.0,2,88.7375,5.662641113031975,5,100.0,0.0,5,100.0,,1,100.0,0.0,4
90.05,5.239110929664816,7,100.0,0.0,7,86.96833333333332,3.174912509730693,6,100.0,0.0,7,68.89625000000001,8.757114399399304,4,99.0,1.0,5,87.003125,4.0016560955055125,8,100.0,0.0,7,84.66,1.4524999999999932,2,100.0,0.0,5,86.50041666666665,4.601810577400789,6,100.0,0.0,5,74.391,13.855910755883208,5,100.0,0.0,2,72.59400000000001,11.720395113860281,5,100.0,0.0,5,98.3325,,1,100.0,0.0,4
81.7517857142857,8.258215240751783,7,100.0,0.0,7,75.24291666666666,6.094517393276063,6,100.0,0.0,7,59.039375,5.6920986331017085,4,99.0,1.0,5,80.48750000000001,5.023835152834649,8,100.0,0.0,7,79.2525,0.36249999999999716,2,99.375,0.625,5,72.30791666666667,8.028135976485727,6,100.0,0.0,5,59.37750000000001,17.549530228755412,5,100.0,0.0,2,53.373000000000005,10.96438209043264,5,100.0,0.0,5,94.1175,,1,100.0,0.0,4
68.26785714285715,10.175354788312161,7,100.0,0.0,7,62.435833333333335,8.250641204038496,6,99.64285714285714,0.3571428571428571,7,45.9125,8.006582513261614,4,97.125,1.8915932438026946,5,70.14281249999999,4.961895101616112,8,99.0307142857143,0.7172968673557464,7,67.005,0.23499999999999943,2,99.375,0.625,5,57.29083333333333,10.300409410687413,6,99.44449999999999,0.5555000000000005,5,49.7695,18.948903009145408,5,100.0,0.0,2,33.7055,11.50029147456707,5,97.9165,1.317681581414873,5,82.6375,,1,100.0,0.0,4
56.658928571428575,11.946790250059285,7,100.0,0.0,7,55.9125,8.72662148256701,6,99.22892857142857,0.7710714285714275,7,37.333125,7.67596155587635,4,97.232,2.7680000000000002,5,64.570625,5.486777363539873,8,98.90892857142856,0.5217361291259927,7,56.7325,6.954999999999997,2,98.889,1.1110000000000013,5,49.80958333333333,8.896026510392776,6,98.1605,1.2190586532238727,5,39.163000000000004,17.934076178465396,5,100.0,0.0,2,21.5565,8.420094885154205,5,96.143,3.856999999999999,5,71.9225,,1,98.75,1.25,4
46.29214285714285,11.139620868940804,7,100.0,0.0,7,46.66208333333333,9.73560859715223,6,98.74571428571429,0.829058328819531,7,31.220625000000002,12.96591486580456,4,96.428,3.571999999999999,5,58.775937500000005,4.609548076351082,8,97.77642857142858,0.9170473544698422,7,49.879999999999995,8.245000000000001,2,97.5555,1.1090126239137237,5,41.32375,8.62700698267752,6,97.5495,1.5114526125552215,5,30.407500000000006,15.858720668767706,5,97.5,2.5,2,14.5255,6.785100699326429,5,95.7735,4.226499999999998,5,61.6525,,1,93.72874999999999,2.8938052550520164,4
36.267857142857146,9.686079610595252,7,100.0,0.0,7,36.23916666666667,10.699668251606893,6,97.81392857142858,1.7224344151885282,7,29.033125000000002,9.805076351850861,4,96.607,3.3930000000000007,5,51.9859375,4.502200179830233,8,97.44678571428571,1.148930625247953,7,48.332499999999996,11.667499999999999,2,95.80999999999999,3.0634336331965804,5,34.718333333333334,7.110840921516325,6,94.9165,2.2837955797312515,5,27.1635,14.421850600737756,5,97.5,2.5,2,13.981,5.931159330181578,5,96.9045,3.0955000000000013,5,46.0775,,1,88.03750000000001,5.586228136378486,4
29.21392857142857,8.361121582906785,7,100.0,0.0,7,33.525416666666665,9.79107406894724,6,94.63821428571428,2.4944946354711917,7,28.1575,9.888598074297487,4,96.113,3.8870000000000005,5,52.364375,4.007930190070947,8,94.645,1.263652114573733,7,40.6575,0.5925000000000011,2,94.0115,3.2686132954205527,5,28.605416666666667,7.161987282889981,6,93.17850000000001,2.7148144043377993,5,22.3705,12.276634804578979,5,97.5,2.5,2,10.670499999999999,5.47282361994245,5,94.8015,5.198500000000001,5,34.8025,,1,82.974375,9.013234503992356,4
