Time,CLK_Out_w3
0.0,"['0.5495', '0.9707', 'NS']"
0.5,"['0.6472', '0.9707', 'NS']"
1.0,"['0.9719', '0.9719', 'NS']"
1.5,"['0.4181', '0.9707', 'NS']"
2.0,"['0.7513', '0.9719', 'NS']"
2.5,"['0.6472', '0.9707', 'NS']"
3.0,"['0.6985', '0.9719', 'NS']"
3.5,"['0.4181', '0.9707', 'NS']"
4.0,"['0.5035', '0.9707', 'NS']"
4.5,"['0.5495', '0.9707', 'NS']"
5.0,"['0.8053', '0.9719', 'NS']"
5.5,"['0.9719', '0.9719', 'NS']"
6.0,"['0.0725', '0.7618', 'NS']"
6.5,"['0.3418', '0.9707', 'NS']"
7.0,"['0.9159', '0.9719', 'NS']"
7.5,"['0.5974', '0.9707', 'NS']"
8.0,"['0.5974', '0.9707', 'NS']"
8.5,"['0.0620', '0.7618', 'NS']"
9.0,"['0.1300', '0.9102', 'NS']"
9.5,"['0.4181', '0.9707', 'NS']"
10.0,"['0.9159', '0.9719', 'NS']"
