Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0643', '0.5078', 'NS']"
1.0,"['0.0285', '0.5078', 'NS']"
1.5,"['0.2297', '0.5723', 'NS']"
2.0,"['0.3979', '0.6428', 'NS']"
2.5,"['0.5495', '0.7212', 'NS']"
3.0,"['0.7513', '0.8901', 'NS']"
3.5,"['1.0000', '1.0000', 'NS']"
4.0,"['0.5035', '0.7212', 'NS']"
4.5,"['0.3418', '0.6428', 'NS']"
5.0,"['0.8053', '0.8901', 'NS']"
5.5,"['0.2453', '0.5723', 'NS']"
6.0,"['0.0725', '0.5078', 'NS']"
6.5,"['0.3787', '0.6428', 'NS']"
7.0,"['0.5495', '0.7212', 'NS']"
7.5,"['0.3072', '0.6428', 'NS']"
8.0,"['0.1696', '0.5723', 'NS']"
8.5,"['0.1300', '0.5723', 'NS']"
9.0,"['0.2453', '0.5723', 'NS']"
9.5,"['0.1927', '0.5723', 'NS']"
10.0,"['0.8053', '0.8901', 'NS']"
