Time,CLK_Out_w1
0.0,"['0.2815', '0.4926', 'NS']"
0.5,"['0.8777', '0.9216', 'NS']"
1.0,"['0.7350', '0.8124', 'NS']"
1.5,"['0.0905', '0.3169', 'NS']"
2.0,"['0.0794', '0.3169', 'NS']"
2.5,"['0.3722', '0.6012', 'NS']"
3.0,"['0.0905', '0.3169', 'NS']"
3.5,"['0.2071', '0.4831', 'NS']"
4.0,"['0.2549', '0.4926', 'NS']"
4.5,"['0.9264', '0.9264', 'NS']"
5.0,"['0.6444', '0.7518', 'NS']"
5.5,"['0.5588', '0.6902', 'NS']"
6.0,"['0.1858', '0.4831', 'NS']"
6.5,"['0.2815', '0.4926', 'NS']"
7.0,"['0.0694', '0.3169', 'NS']"
7.5,"['0.0106', '0.2235', 'NS']"
8.0,"['0.0289', '0.3034', 'NS']"
8.5,"['0.1481', '0.4443', 'NS']"
9.0,"['0.5181', '0.6800', 'NS']"
9.5,"['0.4417', '0.6184', 'NS']"
10.0,"['0.4417', '0.6184', 'NS']"
