CLK_Out_w1_mean,CLK_Out_w1_sem,CLK_Out_w1_N,CLK_Out_w3_mean,CLK_Out_w3_sem,CLK_Out_w3_N,W1118_w1_mean,W1118_w1_sem,W1118_w1_N,W1118_w3_mean,W1118_w3_sem,W1118_w3_N
0.0,0.0,11,0.0,0.0,10,0.0,0.0,12,0.0,0.0,11
0.45454545454545453,0.30491836056815314,11,0.0,0.0,10,1.3589583333333335,0.5014023382139479,12,1.2211363636363635,0.5336295492828039,11
3.8959090909090914,0.8913878525754143,11,3.3040000000000007,1.0938809096261095,10,8.961666666666668,1.7707537860921252,12,9.560454545454547,2.7816968092209025,11
19.702045454545456,2.917008738303477,11,15.860499999999998,3.458243870328792,10,26.793125000000003,3.2573806945320114,12,24.12363636363636,4.767204254587659,11
36.96113636363636,4.291586276494397,11,32.33,4.536888250772769,10,46.90895833333334,3.643165514720022,12,41.007045454545455,5.705659917395639,11
55.00295454545455,4.518498176916019,11,46.50425,5.2047318087860095,10,62.49291666666667,2.6732019557710913,12,52.4625,4.720465368526131,11
61.01227272727272,3.6899979282844866,11,53.19875,4.259882093601757,10,67.27208333333333,2.4227004841152615,12,57.38931818181818,3.244400825248945,11
63.35386363636364,3.319239993165816,11,56.3245,4.178031946316883,10,64.09854166666668,2.1892789618840793,12,56.93159090909091,3.868858979559607,11
59.192727272727275,2.9917527063910785,11,53.418499999999995,3.156596250534567,10,55.71312499999999,3.8298631706337125,12,53.067727272727275,3.9080159819644114,11
52.752272727272725,2.8862442262343415,11,50.186,2.8493540252329317,10,46.685624999999995,3.7263388778117954,12,47.195,3.066438524945956,11
42.73818181818182,2.6018384472878258,11,46.21925,2.8638143767922912,10,36.53,2.766056944953822,12,39.85136363636364,3.110247767893412,11
33.37272727272727,2.6492921536307117,11,39.309250000000006,2.781599760779158,10,31.817708333333332,2.5895955037318537,12,38.53477272727273,2.5302695116633114,11
31.388863636363638,2.413891199524224,11,32.79975,3.3861779390224345,10,28.05875,2.766794798397488,12,31.99704545454546,3.2037132720233945,11
29.3475,1.8226975513332884,11,29.338749999999997,3.335228653872341,10,24.4375,2.032255660142645,12,27.132272727272724,3.9243013485689606,11
26.465681818181817,1.6847556840313773,11,24.829749999999997,3.4856462705804088,10,21.223125,2.69183266196451,12,24.52318181818182,3.5495908709652255,11
24.502272727272725,1.9026164536854797,11,28.308,3.423817289712366,10,22.246458333333333,2.7942205548796375,12,22.649772727272726,3.6993729421740187,11
26.542045454545452,3.1155144004383684,11,26.462,3.637377409159883,10,20.75166666666667,2.7308577978116486,12,22.467803030303028,3.985970607359826,11
21.634999999999998,3.4006662448836273,11,26.392500000000002,2.692093026087901,10,18.959166666666665,2.8826169739816057,12,18.759090909090908,3.8302347909389325,11
23.27136363636364,3.3865020899090967,11,28.20225,3.6109100201488142,10,15.769374999999998,2.145773155783142,12,22.18840909090909,3.767280054397929,11
24.505681818181817,3.661808049604561,11,26.135999999999996,4.250599372768242,10,18.120833333333334,2.394041596159393,12,21.294318181818184,3.8234859316364025,11
24.787727272727274,3.424260329129912,11,32.03875000000001,5.2217776646623575,10,16.50854166666667,1.6419348474902342,12,20.700454545454548,4.064073427024656,11
29.247272727272726,2.424915027905511,11,27.003499999999995,2.596157983978975,10,13.834375000000001,2.0482936617379623,12,21.773636363636363,3.264500733852316,11
33.45318181818182,3.0881143130283535,11,27.6005,3.3087762885661793,10,16.235625000000002,2.0273692678446023,12,20.104999999999997,3.225001127554419,11
32.32340909090909,3.123790680056831,11,27.395083333333332,2.7293529380877346,10,18.321458333333336,1.8726345042705468,12,16.967499999999998,2.58311758874286,11
28.901363636363637,3.2884618773212253,11,30.383750000000003,3.2085047627360623,10,17.805833333333336,1.4994647193063415,12,17.598030303030306,2.8727915326929336,11
31.54022727272727,2.2993959052163286,11,29.334249999999997,3.6702594339501395,10,20.508958333333336,1.4927396404972533,12,16.167651515151515,3.466625141465643,11
