Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['0.0379', '0.0795', 'NS']","['0.0101', '0.0303', '*']"
0.5,"['0.0728', '0.1230', 'NS']","['0.0025', '0.0265', '*']"
1.0,"['0.1649', '0.2234', 'NS']","['0.0303', '0.0670', 'NS']"
1.5,"['0.0262', '0.0648', 'NS']","['0.0101', '0.0303', '*']"
2.0,"['0.0530', '0.1012', 'NS']","['0.0732', '0.1230', 'NS']"
2.5,"['0.0023', '0.0265', '*']","['0.0101', '0.0303', '*']"
3.0,"['0.0023', '0.0265', '*']","['0.0051', '0.0303', '*']"
3.5,"['0.1282', '0.1857', 'NS']","['0.0051', '0.0303', '*']"
4.0,"['1.0000', '1.0000', 'NS']","['0.0303', '0.0670', 'NS']"
4.5,"['0.3176', '0.3923', 'NS']","['0.0101', '0.0303', '*']"
5.0,"['0.3829', '0.4467', 'NS']","['0.0101', '0.0303', '*']"
5.5,"['0.2593', '0.3300', 'NS']","['0.0101', '0.0303', '*']"
6.0,"['0.0175', '0.0459', '*']","['0.1061', '0.1591', 'NS']"
6.5,"['0.0530', '0.1012', 'NS']","['0.1490', '0.2086', 'NS']"
7.0,"['0.0175', '0.0459', '*']","['0.2020', '0.2652', 'NS']"
7.5,"['0.0070', '0.0303', '*']","['0.0025', '0.0265', '*']"
8.0,"['0.0973', '0.1572', 'NS']","['0.0732', '0.1230', 'NS']"
8.5,"['0.9015', '0.9235', 'NS']","['0.8763', '0.9201', 'NS']"
9.0,"['0.8048', '0.8667', 'NS']","['0.0051', '0.0303', '*']"
9.5,"['0.7104', '0.7851', 'NS']","['0.3434', '0.4121', 'NS']"
10.0,"['0.4557', '0.5173', 'NS']","['0.1061', '0.1591', 'NS']"
