Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['0.5887', '1.0000', 'NS']","['0.1775', '1.0000', 'NS']"
1.0,"['0.4848', '1.0000', 'NS']","['0.3290', '1.0000', 'NS']"
1.5,"['0.5887', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
2.0,"['0.5887', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
2.5,"['0.4848', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
3.0,"['0.5887', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
3.5,"['0.4848', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
4.0,"['0.3939', '1.0000', 'NS']","['0.7922', '1.0000', 'NS']"
4.5,"['0.5887', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
5.0,"['0.8182', '1.0000', 'NS']","['0.7922', '1.0000', 'NS']"
5.5,"['0.8182', '1.0000', 'NS']","['0.9307', '1.0000', 'NS']"
6.0,"['0.9372', '1.0000', 'NS']","['0.7922', '1.0000', 'NS']"
6.5,"['1.0000', '1.0000', 'NS']","['0.9307', '1.0000', 'NS']"
7.0,"['0.8182', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
7.5,"['0.8182', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
8.0,"['0.4848', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
8.5,"['0.8182', '1.0000', 'NS']","['0.2468', '1.0000', 'NS']"
9.0,"['1.0000', '1.0000', 'NS']","['0.3290', '1.0000', 'NS']"
9.5,"['0.6991', '1.0000', 'NS']","['0.2468', '1.0000', 'NS']"
10.0,"['0.5887', '1.0000', 'NS']","['0.3290', '1.0000', 'NS']"
