Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.3633', '0.5653', 'NS']"
1.0,"['0.1048', '0.5653', 'NS']"
1.5,"['0.4110', '0.5653', 'NS']"
2.0,"['0.3246', '0.5653', 'NS']"
2.5,"['0.7427', '0.7798', 'NS']"
3.0,"['0.3933', '0.5653', 'NS']"
3.5,"['0.4701', '0.5721', 'NS']"
4.0,"['0.2122', '0.5653', 'NS']"
4.5,"['0.2122', '0.5653', 'NS']"
5.0,"['0.0660', '0.5653', 'NS']"
5.5,"['0.2372', '0.5653', 'NS']"
6.0,"['0.4306', '0.5653', 'NS']"
6.5,"['0.3579', '0.5653', 'NS']"
7.0,"['0.3579', '0.5653', 'NS']"
7.5,"['0.2371', '0.5653', 'NS']"
8.0,"['0.4307', '0.5653', 'NS']"
8.5,"['0.5545', '0.6129', 'NS']"
9.0,"['0.4904', '0.5721', 'NS']"
9.5,"['0.3246', '0.5653', 'NS']"
10.0,"['0.3578', '0.5653', 'NS']"
